Rank,Score,Zim
100,100,wikipedia_zh_all_maxi
98,90,wikipedia_en_all_maxi
97,63,wikipedia_es_all_maxi
96,36,wikipedia_ar_all_maxi
95,22,wikibooks_en_all_maxi
93,18,wikipedia_fr_all_maxi
90,13,openstreetmap_en_all_maxi
90,13,stackoverflow.com_en_all
90,13,wikipedia_ar_all_nopic
90,13,wikipedia_ru_all_maxi
90,13,wikivoyage_en_all_maxi
76,9,ted_en_business
76,9,ted_en_global_issues
76,9,ted_en_science
76,9,wikipedia_ab_all_maxi
76,9,wikipedia_ab_all_mini
76,9,wikipedia_ab_all_nopic
76,9,wikipedia_ace_all_maxi
76,9,wikipedia_ace_all_nopic
76,9,wikipedia_ady_all_maxi
76,9,wikipedia_de_all_maxi
76,9,wikipedia_en_100
76,9,wikipedia_es_all_nopic
76,9,wikipedia_fr_all_nopic
76,9,wikipedia_pt_all_maxi
76,9,wiktionary_en_all_maxi
76,9,wiktionary_es_all_maxi
76,9,wiktionary_ru_all_maxi
33,4,gutenberg_en_all
33,4,gutenberg_es_all
33,4,phet_en
33,4,tedmed_en_all
33,4,ted_en_technology
33,4,wikibooks_ru_all_maxi
33,4,wikinews_ar_all_maxi
33,4,wikinews_ru_all_maxi
33,4,wikipedia_de_all_mini
33,4,wikipedia_en_simple_all_maxi
33,4,wikipedia_en_top_maxi
33,4,wikipedia_nl_all_maxi
33,4,wikipedia_pt_all_mini
33,4,wikipedia_pt_all_nopic
33,4,wikipedia_pt_basketball_maxi
33,4,wikipedia_pt_basketball_nopic
33,4,wikipedia_pt_chemistry_maxi
33,4,wikipedia_pt_chemistry_mini
33,4,wikipedia_pt_chemistry_nopic
33,4,wikipedia_pt_computer_maxi
33,4,wikipedia_pt_computer_nopic
33,4,wikipedia_pt_football_maxi
33,4,wikipedia_pt_football_nopic
33,4,wikipedia_pt_geography_maxi
33,4,wikipedia_pt_geography_nopic
33,4,wikipedia_pt_history_maxi
33,4,wikipedia_pt_history_nopic
33,4,wikipedia_pt_mathematics_maxi
33,4,wikipedia_pt_mathematics_mini
33,4,wikipedia_pt_mathematics_nopic
33,4,wikipedia_pt_medicine_maxi
33,4,wikipedia_pt_medicine_nopic
33,4,wikipedia_pt_molcell_maxi
33,4,wikipedia_pt_molcell_nopic
33,4,wikipedia_pt_movies_maxi
33,4,wikipedia_pt_movies_nopic
33,4,wikipedia_pt_physics_maxi
33,4,wikipedia_pt_physics_mini
33,4,wikipedia_pt_physics_nopic
33,4,wikipedia_pt_top_maxi
33,4,wikipedia_pt_top_mini
33,4,wikipedia_pt_top_nopic
33,4,wikipedia_zh_basketball_maxi
33,4,wikipedia_zh_top_maxi
33,4,wikiquote_ru_all_maxi
33,4,wikisource_ar_all_nopic
33,4,wikisource_fr_all_nopic
33,4,wikisource_ru_all_maxi
33,4,wikiversity_ru_all_maxi
33,4,wikivoyage_ru_all_maxi
33,4,wiktionary_en_all_nopic
33,4,wiktionary_ja_all_maxi
33,4,wiktionary_zh_all_nopic
